title,text,clean_text,date,url,source,location,lat,lon,murder,rape,kidnapping,sexual_harassment,crime_against_children,theft,burglary,robbery,fraud_cheating,accident,non_crime
ಬೆಂಗಳೂರು: ರಾಜಕೀಯ ದ್ವೇಷಕ್ಕೆ ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆ ಯುವಕನ ಭೀಕರ ಕೊಲೆ,ಬೆಂಗಳೂರಿನ ಯಲಹಂಕದಲ್ಲಿ ತಡರಾತ್ರಿ ಯುವಕನೊಬ್ಬನನ್ನು ದುಷ್ಕರ್ಮಿಗಳು ಅಟ್ಟಾಡಿಸಿ ಕೊಲೆ ಮಾಡಿದ್ದಾರೆ. ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಈ ಕೊಲೆ ನಡೆದಿದೆ ಎಂದು ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.,ಬೆಂಗಳೂರು: ರಾಜಕೀಯ ದ್ವೇಷಕ್ಕೆ ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆ ಯುವಕನ ಭೀಕರ ಕೊಲೆ ಬೆಂಗಳೂರಿನ ಯಲಹಂಕದಲ್ಲಿ ತಡರಾತ್ರಿ ಯುವಕನೊಬ್ಬನನ್ನು ದುಷ್ಕರ್ಮಿಗಳು ಅಟ್ಟಾಡಿಸಿ ಕೊಲೆ ಮಾಡಿದ್ದಾರೆ. ಹಳೇ ದ್ವೇಷದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಈ ಕೊಲೆ ನಡೆದಿದೆ ಎಂದು ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.,2026-05-27,https://www.newsportal.com/article/0,Prajavani,"Yelahanka, Bengaluru",13.1008,77.5963,1,0,0,0,0,0,0,0,0,0,0
Delhi Triple Murder Case: Business partner arrested after three found dead,The Delhi Police have arrested a business associate in connection with the triple murder in Rohini. The victims were found with stab wounds.,delhi triple murder case: business partner arrested after three found dead the delhi police have arrested a business associate in connection with the triple murder in rohini. the victims were found with stab wounds.,2026-05-26,https://www.newsportal.com/article/1,Times of India,"Rohini, Delhi",28.7041,77.1025,1,0,0,0,0,0,0,0,0,0,0
மயிலாப்பூரில் ஓய்வுபெற்ற முதிய தம்பதி கொடூரக் கொலை: கார் ஓட்டுநர் கைது,"சென்னையில் மயிலாப்பூரில் தம்பதியர் படுகொலை செய்யப்பட்ட வழக்கில், நேபாளத்துக்கு தப்பியோட முயன்ற கார் ஓட்டுநரை போலீசார் கைது செய்தனர்.","மயிலாப்பூரில் ஓய்வுபெற்ற முதிய தம்பதி கொடூரக் கொலை: கார் ஓட்டுநர் கைது சென்னையில் மயிலாப்பூரில் தம்பதியர் படுகொலை செய்யப்பட்ட வழக்கில், நேபாளத்துக்கு தப்பியோட முயன்ற கார் ஓட்டுநரை போலீசார் கைது செய்தனர்.",2026-05-25,https://www.newsportal.com/article/2,Dina Thanthi,"Mylapore, Chennai",13.0336,80.2676,1,0,0,0,0,0,0,0,0,0,0
Police arrest two in Hyderabad minor gang assault case,The Jubilee Hills police registered a case under POCSO and arrested two suspects for the assault of a minor girl in an isolated building.,police arrest two in hyderabad minor gang assault case the jubilee hills police registered a case under pocso and arrested two suspects for the assault of a minor girl in an isolated building.,2026-05-24,https://www.newsportal.com/article/3,The Hindu,"Jubilee Hills, Hyderabad",17.4325,78.4071,0,1,0,0,1,0,0,0,0,0,0
"यूपी: मेरठ में कॉलेज छात्रा के साथ दुष्कर्म का मामला, आरोपी गिरफ्तार",मेरठ के एक निजी कॉलेज के पास छात्रा को नशीला पदार्थ पिलाकर दुष्कर्म करने के आरोप में मुख्य आरोपी को गिरफ्तार कर लिया गया है।,"यूपी: मेरठ में कॉलेज छात्रा के साथ दुष्कर्म का मामला, आरोपी गिरफ्तार मेरठ के एक निजी कॉलेज के पास छात्रा को नशीला पदार्थ पिलाकर दुष्कर्म करने के आरोप में मुख्य आरोपी को गिरफ्तार कर लिया गया है।",2026-05-23,https://www.newsportal.com/article/4,Amar Ujala,"Meerut, Uttar Pradesh",28.9845,77.7064,0,1,0,0,0,0,0,0,0,0,0
"Kasaragod: Kidnapped businessman rescued within 12 hours, 3 held",A swift operation by the police team led to the rescue of a local trader who was abducted for ransom from his residence in Kasaragod.,"kasaragod: kidnapped businessman rescued within 12 hours, 3 held a swift operation by the police team led to the rescue of a local trader who was abducted for ransom from his residence in kasaragod.",2026-05-27,https://www.newsportal.com/article/5,Udayavani,"Kasaragod, Kerala",12.5103,74.9852,0,0,1,0,0,0,0,0,0,0,0
"पटना: डॉक्टर के इकलौते बेटे का अपहरण, 50 लाख की फिरौती मांगी",पटना के बोरिंग रोड से एक प्रसिद्ध डॉक्टर के बेटे का अपहरण कर लिया गया है। अपहरणकर्ताओं ने 50 लाख रुपये की फिरौती की मांग की है।,"पटना: डॉक्टर के इकलौते बेटे का अपहरण, 50 लाख की फिरौती मांगी पटना के बोरिंग रोड से एक प्रसिद्ध डॉक्टर के बेटे का अपहरण कर लिया गया है। अपहरणकर्ताओं ने 50 लाख रुपये की फिरौती की मांग की है।",2026-05-26,https://www.newsportal.com/article/6,Dainik Bhaskar,"Boring Road, Patna",25.6186,85.1091,0,0,1,0,0,0,0,0,0,0,0
Bengaluru IT park: Techie arrested for stalking and harassing colleague,A 28-year-old software engineer was booked by the Whitefield police for persistent offline and online harassment of a female coworker.,bengaluru it park: techie arrested for stalking and harassing colleague a 28-year-old software engineer was booked by the whitefield police for persistent offline and online harassment of a female coworker.,2026-05-25,https://www.newsportal.com/article/7,Vijay Karnataka,"Whitefield, Bengaluru",12.9698,77.75,0,0,0,1,0,0,0,0,0,0,0
"मुंबई लोकल ट्रेन में महिला से छेड़छाड़, आरोपी सह-यात्री दबोचा गया",मुंबई के कुर्ला स्टेशन के पास लोकल ट्रेन के डिब्बे में एक महिला से छेड़छाड़ करने के आरोप में एक पुरुष को यात्रियों ने पकड़कर जीआरपी के हवाले किया।,"मुंबई लोकल ट्रेन में महिला से छेड़छाड़, आरोपी सह-यात्री दबोचा गया मुंबई के कुर्ला स्टेशन के पास लोकल ट्रेन के डिब्बे में एक महिला से छेड़छाड़ करने के आरोप में एक पुरुष को यात्रियों ने पकड़कर जीआरपी के हवाले किया।",2026-05-24,https://www.newsportal.com/article/8,NDTV India,"Kurla, Mumbai",19.0652,72.8797,0,0,0,1,0,0,0,0,0,0,0
POCSO case registered against school teacher in Chennai for child abuse,"Following complaints from parents, the police booked a physical training instructor under the POCSO Act for inappropriate behavior.","pocso case registered against school teacher in chennai for child abuse following complaints from parents, the police booked a physical training instructor under the pocso act for inappropriate behavior.",2026-05-23,https://www.newsportal.com/article/9,The Hindu,"Adyar, Chennai",13.0033,80.255,0,0,0,0,1,0,0,0,0,0,0
